rider_id,week_id,home_zone_id,delivery_platform,tier,avg_delivery_radius_km,primary_shift,avg_daily_active_hours,loyalty_weeks_active,avg_weekly_earnings_4wk,earnings_volatility_index,claim_history_score,zone_elevation_index,waterlogging_incidents_3yr,road_quality_score,zone_heat_island_index,rain_mm_7day_forecast,max_temp_forecast,wind_gust_kmh_forecast,aqi_forecast_avg,imd_alert_level_forecast,bandh_probability_score,platform_outage_7d_count,festival_calendar_flag,political_event_flag,w_risk,disruption_label,r_alert,loyalty_discount,premium_charged
R00492,125,adyar,zomato,starter,5.09,evening,9.0,4,7881.0,0.4181,0.159,2.75,8,6.01,2.02,18.8,40.1,11.5,35.0,0,0.2768,1,0,0,0.8122,0,1.0,0.95,30.09
R00493,137,perambur,blinkit,standard,8.65,night,8.2,0,5153.0,0.1804,0.1864,3.02,10,4.37,2.25,81.2,32.9,38.6,147.0,2,0.0845,3,0,0,0.8919,0,0.5,1.0,30.77
R00494,95,sholinganallur,zomato,shield,9.84,morning,10.3,8,3259.0,0.433,0.0856,4.55,5,7.49,1.76,61.9,30.0,21.5,192.0,1,0.2538,2,1,0,0.8119,0,0.75,0.9,54.26
R00495,58,t_nagar,swiggy,standard,4.08,evening,5.2,4,10292.0,0.1434,0.1534,5.06,6,4.6,2.11,8.6,28.9,18.0,297.0,0,0.3838,1,0,0,0.8131,0,1.0,0.95,53.3
R00496,34,guindy,zepto,standard,5.12,evening,8.7,8,9997.0,0.1341,0.1658,5.79,2,7.08,1.78,80.8,31.5,40.6,60.0,2,0.2,1,0,0,0.8255,1,0.5,0.9,25.63
R00497,134,adyar,swiggy,standard,11.11,afternoon,8.9,24,6981.0,0.2278,0.4384,2.96,9,7.02,1.7,39.3,33.7,27.2,90.0,0,0.0604,1,0,0,0.8309,0,1.0,0.7,40.13
R00498,119,guindy,swiggy,starter,8.19,evening,8.9,4,8751.0,0.4316,0.2651,5.73,2,7.4,1.36,6.0,37.0,21.9,64.0,0,0.0912,0,0,1,0.7919,0,1.0,0.95,29.34
R00499,113,chromepet,zomato,shield,8.41,evening,8.6,0,6969.0,0.5105,0.2066,4.17,6,5.66,1.61,3.9,30.3,9.7,138.0,0,0.1192,0,0,0,0.7969,0,1.0,1.0,78.89
R00500,189,t_nagar,swiggy,shield,7.21,afternoon,8.6,32,3207.0,0.6201,0.1161,5.2,5,5.25,2.46,56.2,31.9,9.4,77.0,1,0.1823,0,0,0,0.8326,1,0.75,0.7,43.28
R00501,66,royapuram,zepto,standard,6.27,afternoon,8.4,12,6201.0,0.1694,0.1388,2.25,11,3.19,2.69,9.6,31.9,10.1,93.0,0,0.0875,2,0,0,0.7861,0,1.0,0.85,46.1
R00502,139,guindy,zepto,shield,4.34,evening,7.0,8,3563.0,0.0746,0.1305,5.96,3,6.71,1.66,41.9,30.7,34.4,64.0,1,0.132,0,0,0,0.7796,0,0.75,0.9,52.09
R00503,1,chromepet,swiggy,standard,6.76,evening,8.9,20,6254.0,0.542,0.1047,3.96,7,5.91,1.66,7.6,25.2,11.3,239.0,0,0.2274,0,0,0,0.8234,0,1.0,0.75,42.61
R00504,190,adyar,zepto,standard,5.59,afternoon,10.8,48,5636.0,0.3608,0.4443,3.05,7,5.67,2.18,80.9,29.6,14.0,58.0,2,0.1258,3,0,0,0.874,1,0.5,0.7,21.11
R00505,16,perambur,zepto,standard,2.93,afternoon,5.0,16,5539.0,0.5063,0.0312,3.24,10,3.89,1.75,4.4,35.5,10.1,38.0,0,0.1558,4,0,1,0.7791,0,1.0,0.8,43.01
R00506,204,velachery,swiggy,starter,10.1,evening,9.6,12,5956.0,0.2891,0.1841,2.47,15,3.12,2.63,51.0,27.9,32.1,186.0,1,0.3484,0,0,0,0.9019,0,0.75,0.85,22.42
R00507,107,t_nagar,zepto,standard,2.53,afternoon,11.9,24,4966.0,0.2313,0.4315,5.13,6,5.36,2.42,3.7,28.0,28.3,111.0,0,0.4237,5,1,0,0.766,0,1.0,0.7,37.0
R00508,0,sholinganallur,swiggy,standard,6.95,evening,8.0,12,3750.0,0.2393,0.2814,4.58,4,7.49,1.51,4.2,29.7,15.7,213.0,0,0.2857,2,1,0,0.7616,0,1.0,0.85,44.67
R00509,130,chromepet,zomato,standard,6.36,evening,6.0,12,4836.0,0.2828,0.182,4.25,6,6.23,2.07,44.8,33.6,57.9,99.0,2,0.4445,4,0,0,0.8836,0,0.5,0.85,25.91
R00510,119,adyar,zomato,standard,9.09,morning,8.0,12,6117.0,0.1871,0.0709,2.31,8,4.99,2.14,11.8,32.6,22.1,86.0,0,0.1044,1,0,1,0.7926,0,1.0,0.85,46.49
R00511,65,tambaram,zomato,shield,6.15,evening,4.3,16,6700.0,0.0702,0.4176,3.8,7,4.67,1.89,9.2,37.2,27.9,182.0,0,0.0737,0,0,0,0.768,0,1.0,0.8,60.82
R00512,15,tambaram,swiggy,starter,2.84,afternoon,7.6,8,6658.0,0.3455,0.1641,4.59,7,5.21,1.54,6.4,37.5,43.9,80.0,1,0.4198,0,0,1,0.8139,0,0.75,0.9,21.43
R00513,159,perambur,swiggy,standard,7.66,afternoon,12.0,12,5979.0,0.1475,0.1132,2.75,9,3.74,2.34,6.4,27.6,10.3,223.0,0,0.2149,2,1,0,0.7719,0,1.0,0.85,45.27
R00514,143,tambaram,zomato,standard,4.32,afternoon,9.7,32,5452.0,0.2742,0.244,3.97,8,4.54,1.62,124.7,30.0,27.1,147.0,2,0.0609,1,0,0,0.8851,1,0.5,0.7,21.38
R00515,103,anna_nagar,swiggy,starter,7.75,evening,6.9,44,7800.0,0.5317,0.0369,6.8,1,8.53,1.23,73.6,22.8,31.2,143.0,2,0.1609,0,1,0,0.7591,1,0.5,0.7,10.36
R00516,129,velachery,swiggy,starter,5.99,evening,7.8,4,6022.0,0.2214,0.1247,1.59,15,4.39,2.31,86.8,37.7,43.4,105.0,2,0.4022,2,0,0,0.9581,1,0.5,0.95,17.75
R00517,159,adyar,blinkit,standard,2.98,morning,6.1,32,6968.0,0.3623,0.3435,3.03,7,6.77,1.8,5.9,25.7,17.4,312.0,0,0.2699,0,1,0,0.766,0,1.0,0.7,37.0
R00518,155,chromepet,swiggy,standard,4.84,night,8.9,4,5171.0,0.439,0.0287,3.62,6,5.57,1.56,79.2,28.4,57.1,321.0,2,0.1788,2,1,0,0.8869,1,0.5,0.95,29.07
R00519,180,velachery,swiggy,standard,8.0,morning,7.0,32,9025.0,0.3372,0.3587,1.49,13,3.49,2.72,35.3,35.9,16.1,46.0,0,0.0753,1,0,0,0.8391,0,1.0,0.7,40.53
R00520,103,perambur,zomato,standard,5.26,evening,6.5,48,3908.0,0.3329,0.0552,3.2,10,3.98,2.22,64.4,26.8,18.3,332.0,1,0.179,0,1,0,0.835,0,0.75,0.7,30.25
R00521,145,guindy,zepto,standard,1.05,morning,7.7,4,7926.0,0.0701,0.24,6.1,3,6.75,1.23,74.5,26.9,37.8,80.0,2,0.0808,3,0,0,0.7953,0,0.5,0.95,26.07
R00522,161,tambaram,zomato,standard,6.61,morning,5.3,0,7282.0,0.1486,0.0999,4.0,8,5.68,1.62,3.7,29.4,16.3,244.0,0,0.2585,2,0,0,0.8001,0,1.0,1.0,55.21
R00523,119,perambur,swiggy,starter,7.72,afternoon,6.7,16,9656.0,0.1152,0.0775,3.23,9,3.98,2.27,8.4,36.3,13.4,87.0,0,0.0553,1,0,1,0.7725,0,1.0,0.8,24.1
R00524,105,tambaram,swiggy,standard,3.79,evening,7.0,28,5143.0,0.2445,0.3381,4.22,8,4.24,2.07,3.5,27.9,19.5,115.0,0,0.2444,1,0,0,0.7784,0,1.0,0.7,37.6
R00525,196,guindy,zomato,starter,6.44,evening,9.2,16,5100.0,0.4576,0.2426,6.14,4,6.64,1.77,108.7,32.9,62.9,217.0,3,0.1646,1,1,0,0.8608,0,0.25,0.8,6.71
R00526,135,sholinganallur,zomato,standard,13.4,evening,8.8,0,4987.0,0.0919,0.1339,5.32,3,6.62,1.33,48.4,33.0,29.9,89.0,1,0.1394,1,0,0,0.8213,0,0.75,1.0,42.5
R00527,106,t_nagar,zepto,standard,4.49,night,7.5,44,5386.0,0.0644,0.2551,4.99,4,5.25,1.92,3.7,25.8,26.1,286.0,0,0.3193,2,1,0,0.762,0,1.0,0.7,36.81
R00528,39,adyar,swiggy,standard,6.49,night,5.8,40,8686.0,0.1117,0.1189,2.8,7,5.07,1.94,26.5,29.8,8.0,194.0,0,0.1744,1,0,0,0.8028,0,1.0,0.7,38.77
R00529,0,anna_nagar,zepto,shield,4.85,night,9.1,12,8998.0,0.4625,0.0755,7.41,3,7.93,1.05,2.0,27.2,20.3,231.0,0,0.3994,1,1,0,0.7721,0,1.0,0.85,64.97
R00530,200,chromepet,swiggy,starter,7.73,night,9.4,12,7991.0,0.289,0.2238,3.93,6,6.35,1.58,44.5,27.8,18.3,258.0,1,0.1891,2,1,0,0.8041,0,0.75,0.85,19.99
R00531,11,perambur,swiggy,standard,6.32,morning,7.5,24,7786.0,0.2185,0.1784,2.96,10,3.75,2.18,8.9,32.7,16.3,108.0,0,0.1378,0,0,0,0.7813,0,1.0,0.7,37.74
R00532,201,adyar,swiggy,starter,5.14,morning,7.2,20,5082.0,0.183,0.07,3.52,8,5.76,1.9,69.3,25.8,50.4,176.0,2,0.4873,0,0,0,0.8918,0,0.5,0.75,13.04
R00533,1,velachery,zepto,shield,3.87,afternoon,9.6,16,7241.0,0.5766,0.038,2.17,15,4.3,2.62,3.3,27.3,13.6,176.0,0,0.3091,2,0,0,0.8124,0,1.0,0.8,64.35
R00534,9,sholinganallur,swiggy,starter,7.6,afternoon,10.5,8,6615.0,0.1746,0.0044,5.21,3,6.72,1.4,18.5,26.7,24.7,108.0,0,0.1458,1,0,0,0.7929,0,1.0,0.9,27.83
R00535,49,velachery,swiggy,standard,7.98,evening,6.4,8,4968.0,0.093,0.0844,1.78,13,3.87,2.33,84.0,26.8,25.2,286.0,2,0.1802,2,0,0,0.9348,0,0.5,0.9,29.02
R00536,77,chromepet,zepto,shield,2.01,morning,8.7,16,5077.0,0.3378,0.0255,4.26,7,6.22,1.54,69.9,36.6,58.8,106.0,2,0.055,2,0,0,0.8614,0,0.5,0.8,34.11
R00537,159,t_nagar,swiggy,starter,7.7,afternoon,10.2,20,4471.0,0.6384,0.1109,4.78,4,5.21,2.58,3.8,26.6,18.3,307.0,0,0.2123,0,1,0,0.7961,1,1.0,0.75,23.29
R00538,139,perambur,zomato,shield,5.25,afternoon,7.7,28,8479.0,0.1392,0.5403,3.41,9,4.31,2.5,39.1,33.8,16.8,112.0,0,0.3714,2,0,0,0.8356,0,1.0,0.7,57.91
R00539,33,perambur,zomato,standard,5.72,evening,8.5,20,5959.0,0.3065,0.1386,3.02,10,3.85,2.19,64.1,34.4,48.1,76.0,2,0.2266,1,0,0,0.8909,0,0.5,0.75,23.05
R00540,58,sholinganallur,swiggy,starter,5.37,evening,6.7,16,6227.0,0.1748,0.1545,5.13,3,6.76,1.59,5.9,28.5,16.1,217.0,0,0.2479,1,0,0,0.7922,0,1.0,0.8,24.72
R00541,202,sholinganallur,swiggy,standard,6.59,night,9.3,8,5976.0,0.4391,0.18,4.78,3,7.62,1.29,54.8,28.1,24.5,254.0,1,0.2237,1,0,0,0.8493,0,0.75,0.9,39.55
R00542,135,tambaram,zepto,starter,4.24,afternoon,9.7,8,6981.0,0.3323,0.4467,3.99,8,4.76,1.65,35.7,34.2,24.8,133.0,0,0.0523,2,0,0,0.8116,0,1.0,0.9,28.49
R00543,17,tambaram,swiggy,standard,5.69,afternoon,7.9,52,5226.0,0.5344,0.1299,3.86,6,5.32,1.79,8.5,32.2,39.5,119.0,1,0.256,0,0,1,0.815,0,0.75,0.7,29.53
R00544,138,anna_nagar,zomato,standard,8.75,evening,8.0,12,7426.0,0.1199,0.1212,6.96,3,8.19,0.74,63.3,33.1,47.8,119.0,2,0.0726,4,0,0,0.8304,1,0.5,0.85,24.35
R00545,99,t_nagar,swiggy,standard,8.37,afternoon,9.3,20,7369.0,0.3744,0.1611,5.25,5,5.02,1.87,87.0,28.5,36.4,219.0,2,0.3476,3,0,0,0.8965,0,0.5,0.75,23.2
R00546,118,anna_nagar,blinkit,starter,6.29,morning,7.1,28,3715.0,0.1734,0.0543,6.55,3,8.38,0.82,7.5,33.7,13.0,76.0,0,0.1111,2,0,0,0.7713,0,1.0,0.7,21.06
R00547,18,adyar,zepto,standard,8.18,night,8.4,28,5435.0,0.5278,0.3454,2.96,8,5.93,1.81,12.9,41.9,19.4,73.0,0,0.0637,0,0,0,0.8039,0,1.0,0.7,38.83
R00548,191,royapuram,swiggy,shield,4.02,evening,10.3,24,7057.0,0.3852,0.2838,2.35,11,2.84,2.49,42.2,31.8,49.3,110.0,2,0.1591,2,0,0,0.8807,0,0.5,0.7,30.52
R00549,55,velachery,zepto,shield,4.66,evening,7.5,12,8695.0,0.4424,0.1759,1.74,14,4.04,2.63,3.5,27.0,11.9,172.0,0,0.2374,3,1,0,0.752,0,1.0,0.85,63.28
R00550,144,chromepet,swiggy,standard,6.09,afternoon,6.8,28,7134.0,0.3979,0.3586,3.49,5,6.41,1.79,112.4,29.0,44.0,178.0,2,0.2001,1,1,0,0.8535,1,0.5,0.7,20.61
R00551,101,guindy,swiggy,standard,6.51,evening,9.9,24,5644.0,0.5601,0.1888,6.39,4,6.6,1.4,106.1,24.5,68.3,463.0,3,0.188,1,0,0,0.98,1,0.25,0.7,11.83
R00552,162,chromepet,swiggy,standard,7.98,evening,6.6,24,10597.0,0.5889,0.0741,3.89,7,6.24,1.49,6.1,28.8,8.7,143.0,0,0.3612,0,0,0,0.8108,0,1.0,0.7,39.16
R00553,15,adyar,blinkit,shield,5.9,morning,9.6,4,6522.0,0.3364,0.0309,3.21,8,5.7,2.12,6.4,34.1,12.0,91.0,0,0.219,1,0,1,0.794,0,1.0,0.95,74.67
R00554,36,t_nagar,zomato,standard,7.66,afternoon,7.6,16,4312.0,0.5785,0.0625,4.88,4,4.93,2.22,71.8,31.9,19.3,122.0,2,0.2049,1,0,0,0.8447,0,0.5,0.8,23.32
R00555,129,anna_nagar,zepto,standard,2.83,morning,6.0,4,6121.0,0.219,0.0365,6.67,3,7.52,1.08,54.4,36.2,15.4,41.0,1,0.1021,0,0,0,0.7661,0,0.75,0.95,37.66
R00556,146,anna_nagar,blinkit,shield,6.87,night,5.9,52,6639.0,0.2564,0.0641,7.52,3,8.09,1.01,189.2,30.1,68.6,74.0,3,0.1682,2,0,0,0.8848,0,0.25,0.7,15.33
R00557,58,sholinganallur,swiggy,shield,7.08,night,6.4,40,6999.0,0.2904,0.1124,5.15,3,6.95,1.72,7.7,31.2,19.7,132.0,0,0.4304,1,0,0,0.8016,0,1.0,0.7,55.55
R00558,165,guindy,zepto,standard,5.73,afternoon,9.7,16,7514.0,0.2917,0.2765,5.66,4,6.79,1.8,3.2,31.9,17.8,155.0,0,0.1403,1,0,0,0.7865,0,1.0,0.8,43.42
R00559,47,adyar,swiggy,standard,7.33,night,11.6,4,6846.0,0.2134,0.3035,3.05,9,6.21,1.79,98.6,27.4,28.7,186.0,2,0.2988,1,0,0,0.9092,1,0.5,0.95,29.8
R00560,202,t_nagar,zepto,standard,5.26,night,9.1,20,7537.0,0.1249,0.1461,5.08,4,5.14,2.56,40.9,31.0,20.6,253.0,1,0.1549,1,0,0,0.8202,0,0.75,0.75,31.83
R00561,27,tambaram,blinkit,standard,4.02,night,6.3,16,5580.0,0.0944,0.1145,3.9,6,5.36,1.72,177.9,29.2,66.0,91.0,3,0.0519,1,0,0,0.9527,0,0.25,0.8,13.15
R00562,22,chromepet,zepto,standard,7.39,morning,10.7,20,8460.0,0.1629,0.0431,3.79,6,6.18,1.49,27.2,34.5,18.9,113.0,0,0.196,2,0,1,0.8116,0,1.0,0.75,42.0
R00563,199,velachery,blinkit,standard,4.95,afternoon,8.2,4,9714.0,0.1899,0.2759,1.57,13,4.52,2.43,39.7,27.0,48.3,148.0,2,0.3091,2,1,0,0.8281,0,0.5,0.95,27.14
R00564,105,sholinganallur,swiggy,shield,6.85,morning,6.4,8,6654.0,0.3732,0.4123,5.06,4,7.46,1.33,5.9,29.0,22.2,257.0,0,0.2411,2,0,0,0.8218,0,1.0,0.9,73.22
R00565,140,velachery,swiggy,shield,8.32,night,4.7,36,6110.0,0.1645,0.3315,2.17,13,3.7,2.65,50.2,29.4,21.3,70.0,1,0.2015,1,0,0,0.8511,0,0.75,0.7,44.23
R00566,63,perambur,blinkit,shield,4.18,evening,8.6,0,8785.0,0.3739,0.302,3.12,9,2.83,2.47,4.7,30.8,16.8,183.0,0,0.3085,0,0,0,0.8022,0,1.0,1.0,79.42
R00567,195,adyar,swiggy,standard,9.1,night,8.2,4,2000.0,0.4369,0.0599,2.84,8,6.21,1.94,62.7,33.0,27.1,126.0,1,0.1913,1,0,0,0.8584,1,0.75,0.95,42.2
R00568,167,t_nagar,zomato,standard,5.39,afternoon,10.4,8,2874.0,0.228,0.1492,5.22,6,4.95,2.08,7.3,32.8,7.7,62.0,0,0.0718,0,0,0,0.7762,1,1.0,0.9,48.2
R00569,95,sholinganallur,zomato,shield,6.17,morning,7.3,20,7181.0,0.0741,0.0122,4.66,5,7.39,1.12,50.9,30.7,16.2,83.0,1,0.501,1,1,0,0.7713,0,0.75,0.75,42.95
R00570,104,adyar,zomato,shield,8.69,morning,9.3,40,4467.0,0.0811,0.1392,2.49,8,6.14,2.34,8.9,27.5,12.6,126.0,0,0.412,1,1,0,0.7615,0,1.0,0.7,52.78
R00571,179,royapuram,zepto,standard,5.48,evening,7.8,16,5719.0,0.4371,0.0366,1.81,12,2.47,3.17,26.7,38.8,14.4,63.0,0,0.1532,3,0,1,0.829,0,1.0,0.8,45.76
R00572,9,adyar,zepto,standard,3.46,morning,6.1,8,8590.0,0.1025,0.0146,2.64,7,5.73,1.97,6.8,30.0,35.5,112.0,1,0.3121,3,0,0,0.7862,1,0.75,0.9,36.62
R00573,50,tambaram,swiggy,standard,4.15,night,7.2,4,9016.0,0.103,0.16,4.63,7,4.95,1.85,95.9,22.4,20.0,128.0,2,0.2175,1,0,0,0.8388,1,0.5,0.95,27.49
R00574,23,tambaram,swiggy,standard,9.37,evening,5.9,16,7931.0,0.0969,0.1867,3.91,7,5.36,1.86,69.9,32.7,26.4,174.0,1,0.0655,1,0,1,0.8329,0,0.75,0.8,34.48
R00575,101,royapuram,swiggy,starter,6.65,evening,12.0,40,6391.0,0.2272,0.1318,1.92,11,2.58,2.66,69.4,24.5,49.6,240.0,2,0.2163,1,0,0,0.9542,1,0.5,0.7,13.03
R00576,111,guindy,zomato,starter,6.29,afternoon,8.4,8,3908.0,0.0074,0.1579,6.11,2,7.47,1.34,1.6,27.8,15.3,67.0,0,0.2631,1,0,0,0.7769,0,1.0,0.9,27.27
R00577,52,royapuram,blinkit,standard,5.56,night,8.1,12,6699.0,0.0493,0.0703,2.3,12,3.12,2.91,3.1,25.3,14.1,153.0,0,0.3518,0,1,0,0.7322,0,1.0,0.85,42.94
R00578,183,adyar,swiggy,standard,3.98,afternoon,8.1,20,5880.0,0.1669,0.1883,3.15,9,5.41,2.21,98.3,33.9,26.9,97.0,2,0.2313,1,0,0,0.872,1,0.5,0.75,22.57
R00579,3,adyar,zomato,starter,6.39,night,9.2,16,8424.0,0.1066,0.0815,2.95,7,6.02,1.96,6.7,24.6,25.5,243.0,0,0.3373,0,1,0,0.7626,0,1.0,0.8,23.79
R00580,138,tambaram,zepto,standard,4.73,morning,5.2,0,5449.0,0.05,0.1981,3.77,8,4.37,2.09,50.2,34.7,76.5,102.0,2,0.1813,1,0,0,0.8821,1,0.5,1.0,30.43
R00581,65,t_nagar,zepto,starter,5.61,morning,8.0,8,5539.0,0.4436,0.1445,5.07,6,5.26,2.2,6.5,34.6,56.9,107.0,2,0.2636,1,0,0,0.8412,1,0.5,0.9,14.76
R00582,31,royapuram,zepto,shield,2.69,afternoon,10.0,28,3182.0,0.3538,0.304,1.93,13,2.84,2.57,54.1,33.5,43.9,102.0,1,0.0986,1,0,0,0.8836,0,0.75,0.7,45.92
R00583,67,t_nagar,zomato,standard,9.59,morning,8.8,20,8747.0,0.2234,0.0977,5.02,6,4.8,2.27,11.6,33.6,25.0,124.0,0,0.1743,1,0,1,0.7992,0,1.0,0.75,41.36
R00584,60,t_nagar,swiggy,shield,8.79,afternoon,6.7,44,7817.0,0.4411,0.1311,5.29,5,4.94,2.11,3.6,29.2,30.6,110.0,1,0.1204,0,0,0,0.788,1,0.75,0.7,40.96
R00585,141,anna_nagar,zepto,standard,4.45,morning,8.2,36,5100.0,0.1673,0.0566,6.81,3,8.24,0.88,59.1,30.1,42.3,93.0,1,0.0537,1,0,0,0.7965,0,0.75,0.7,28.85
R00586,206,adyar,swiggy,standard,7.07,evening,11.1,48,5638.0,0.2178,0.5513,2.68,7,5.65,2.18,66.3,28.6,50.4,127.0,2,0.2641,1,0,0,0.9043,0,0.5,0.7,21.84
R00587,155,sholinganallur,zomato,standard,6.32,evening,3.9,4,8268.0,0.187,0.064,5.54,5,6.75,1.27,78.7,27.8,64.5,247.0,2,0.5727,1,1,0,0.8629,1,0.5,0.95,28.28
R00588,183,anna_nagar,zomato,shield,11.23,night,10.2,4,5709.0,0.4388,0.2972,6.89,3,7.91,0.87,55.9,31.6,22.0,56.0,1,0.1782,1,0,0,0.8321,0,0.75,0.95,58.7
R00589,81,sholinganallur,swiggy,standard,8.5,evening,6.3,20,4621.0,0.2519,0.1786,4.9,5,6.9,1.13,52.3,30.9,38.4,83.0,1,0.5195,0,0,0,0.8505,0,0.75,0.75,33.01
R00590,172,tambaram,zomato,starter,7.81,afternoon,9.1,8,10613.0,0.5118,0.4074,3.99,8,4.82,1.81,15.2,33.5,14.1,43.0,0,0.3201,0,0,1,0.8263,0,1.0,0.9,29.0
R00591,19,tambaram,swiggy,shield,4.8,morning,5.3,36,5429.0,0.1494,0.1267,4.16,7,4.84,2.13,13.2,37.3,11.5,145.0,0,0.0697,0,0,0,0.7598,0,1.0,0.7,52.65
R00592,27,perambur,zomato,standard,2.23,night,8.4,20,7876.0,0.4105,0.2165,2.45,10,4.32,2.39,61.6,34.4,54.8,68.0,2,0.0812,0,0,0,0.8816,0,0.5,0.75,22.81
R00593,34,tambaram,zepto,standard,3.28,afternoon,9.0,32,7582.0,0.3932,0.102,4.38,6,4.84,1.89,57.7,33.6,25.0,84.0,1,0.1951,2,0,0,0.8262,0,0.75,0.7,29.93
R00594,91,anna_nagar,zepto,standard,1.39,afternoon,11.6,16,5939.0,0.8029,0.1258,7.42,3,8.33,0.94,75.2,29.3,94.0,126.0,4,0.1173,2,0,0,0.9207,1,0.0,0.8,0.0
R00595,190,guindy,swiggy,standard,8.33,afternoon,9.4,36,6792.0,0.4758,0.2056,5.64,3,7.15,1.51,64.6,30.1,26.8,141.0,1,0.0863,0,0,0,0.8212,0,0.75,0.7,29.74
R00596,161,t_nagar,blinkit,standard,4.74,night,7.2,0,7704.0,0.2942,0.0752,5.44,5,4.47,2.32,6.7,28.2,18.8,91.0,0,0.6059,1,0,0,0.8092,0,1.0,1.0,55.84
R00597,155,t_nagar,zomato,standard,5.12,afternoon,8.5,4,6448.0,0.1909,0.0847,5.71,6,5.01,2.13,41.4,29.4,46.7,101.0,2,0.2852,1,1,0,0.7832,1,0.5,0.95,25.67
R00598,57,adyar,zepto,standard,4.57,morning,7.7,36,6097.0,0.4485,0.1634,2.72,7,5.65,1.84,7.0,31.2,26.1,215.0,0,0.2762,1,0,0,0.8106,0,1.0,0.7,39.15
R00599,150,adyar,zepto,standard,1.46,afternoon,8.3,28,5265.0,0.2103,0.149,2.7,8,5.95,1.77,30.5,27.0,35.8,342.0,1,0.1831,4,0,0,0.8546,0,0.75,0.7,30.96
R00600,59,chromepet,zepto,starter,3.62,evening,8.3,48,3537.0,0.4148,0.1025,3.77,7,5.25,1.59,4.0,29.5,30.7,185.0,1,0.381,0,0,0,0.8026,0,0.75,0.7,16.43
R00601,7,velachery,swiggy,standard,5.37,afternoon,6.0,20,5817.0,0.378,0.0412,1.82,14,3.99,2.34,6.5,32.7,44.8,197.0,1,0.2153,1,0,0,0.8217,0,0.75,0.75,31.89
R00602,8,perambur,zomato,shield,9.26,evening,8.2,16,5457.0,0.3156,0.0678,2.51,10,3.87,2.46,9.3,26.3,21.8,274.0,0,0.0914,0,0,0,0.8224,0,1.0,0.8,65.13
R00603,140,t_nagar,zepto,starter,5.19,afternoon,6.8,44,6135.0,0.1017,0.0307,5.0,4,5.26,1.91,55.5,30.2,16.9,136.0,1,0.23,1,0,0,0.801,0,0.75,0.7,16.4
R00604,146,perambur,zomato,starter,9.52,evening,7.3,16,7011.0,0.2039,0.0996,3.36,9,3.64,2.6,76.6,32.1,16.6,268.0,2,0.0562,1,0,0,0.8875,1,0.5,0.8,13.85
R00605,26,sholinganallur,zomato,standard,3.01,evening,8.2,36,2929.0,0.4594,0.3196,4.5,3,6.78,0.91,63.6,31.1,13.2,82.0,1,0.3658,1,0,0,0.8324,0,0.75,0.7,30.15
R00606,125,perambur,zepto,standard,2.19,evening,8.7,4,6289.0,0.1128,0.1092,3.18,9,4.02,2.26,17.7,33.9,14.9,78.0,0,0.0829,4,0,0,0.7809,0,1.0,0.95,51.19
R00607,9,chromepet,swiggy,standard,6.23,afternoon,7.8,8,7816.0,0.456,0.049,3.9,5,6.36,1.62,13.4,28.3,32.6,114.0,1,0.4499,1,0,0,0.8211,1,0.75,0.9,38.24
R00608,104,t_nagar,swiggy,shield,7.06,afternoon,8.6,4,4353.0,0.1267,0.1119,5.16,4,4.73,2.51,7.1,28.2,16.7,130.0,0,0.2552,0,1,0,0.7351,1,1.0,0.95,69.14
R00609,109,t_nagar,swiggy,standard,6.36,evening,7.0,32,8000.0,0.1941,0.1525,4.82,5,5.16,2.32,7.8,29.7,21.3,113.0,0,0.3366,0,0,0,0.7884,0,1.0,0.7,38.08
R00610,83,perambur,zomato,starter,8.26,afternoon,7.1,48,6702.0,0.1815,0.1394,3.23,10,4.1,2.19,86.7,31.8,37.3,124.0,2,0.2067,0,0,0,0.8895,1,0.5,0.7,12.14
R00611,131,tambaram,zepto,standard,4.45,night,7.6,12,7388.0,0.4264,0.1708,4.03,8,5.41,1.51,53.0,32.5,32.1,153.0,1,0.2323,2,0,0,0.8363,1,0.75,0.85,36.79
R00612,45,anna_nagar,swiggy,shield,10.43,evening,6.5,44,4490.0,0.1667,0.3497,7.0,1,7.85,1.09,80.4,26.4,61.2,244.0,3,0.2812,0,0,0,0.8892,0,0.25,0.7,15.4
R00613,165,royapuram,zepto,starter,1.53,morning,9.6,24,5950.0,0.1472,0.1103,2.31,11,3.5,2.79,11.4,28.8,15.8,145.0,0,0.1351,0,0,0,0.7712,0,1.0,0.7,21.05
R00614,40,chromepet,zomato,standard,4.17,evening,6.2,12,5939.0,0.6494,0.2034,4.06,6,6.51,1.71,66.3,28.1,47.4,163.0,2,0.0786,1,1,0,0.8073,1,0.5,0.85,23.68
R00615,123,royapuram,zepto,starter,5.24,afternoon,9.3,12,5105.0,0.1574,0.1025,2.29,11,2.88,2.64,16.0,38.6,12.0,101.0,0,0.1404,1,0,0,0.7946,0,1.0,0.85,26.34
R00616,121,t_nagar,swiggy,standard,6.83,evening,8.8,28,4915.0,0.1403,0.2475,5.41,4,4.33,2.28,13.3,33.0,19.8,126.0,0,0.0642,0,0,1,0.7767,0,1.0,0.7,37.51
R00617,54,anna_nagar,zomato,starter,5.62,afternoon,8.3,4,6997.0,0.472,0.1514,7.07,3,8.89,0.93,3.2,28.7,7.7,112.0,0,0.3013,2,1,0,0.7512,0,1.0,0.95,27.83
